,Abstract,Class
0,"Clinical Relevance: Prolonged wait times for image-guided breast interventions are ruining the patient experience and negatively affect healthcare workers. Adopting lean methodology helps streamline the process and improve patient satisfaction. Purpose: This is a quality improvement project which aims to create an efficient interventional breast imaging workflow using lean methodology by reducing wastes of all kinds including time and materials. It aims to improve patients' satisfaction by decreasing the wait times Materials and Methods: We used the lean six Sigma Define, Measure, Analyze, Improve and Control (DMAIC). The team members used tools such as affinity diagram to define the current problems in the workflow and the root cause of prolonged wait times. Team members gathered observations. Root cause analysis using a fishbone diagram and wasteful steps were identified. Brainstorming sessions discussed ideas for improvement. A consensus was reached on countermeasures and a pilot project was planned. Results: The target of decreasing the wait time was met on the days when the counter measures were fully implemented Conclusion: Streamlining the breast imaging intervention is considered in its preliminary phase; further work and reviews are needed towards full implementation and sustainability. Despite the many challenges, embarking on quality improvement project and promoting lean culture not only helped us to meet the target of decreasing wait time but have improved the work environment and patient satisfaction.",5
1,Neoadjuvant chemotherapy (NAC) has become the main treatment option for breast cancer. Its adverse drug reactions (ADRs) make NAC painful both physiologically and psychologically. The factor pathological complete remission (pCR) describes how well a series of six or more chemotherapeutic treatments works on a patient. This study investigated the possibility of predicting pCR using only the nodal sizes of the first three treatments. A best feature combination for each breast cancer subtype was screened from the real nodal sizes of the first three treatments and the nodal sizes` of the next three treatments predicted from those of the first three ones. The prediction was evaluated by the metrics Avc = (sensitivity + specificity)/2. A triple-negative breast cancer (TN) patient may have an estimation of pCR Avc = 0.8696 after taking just three treatments. At least Avc = 0.7594 was achieved for all the four breast cancer subtypes investigated in this study.,5
2,"Healthcare performance assessment to improve quality of care is an important task for every healthcare facility. King Hussein Cancer Center (KHCC) is a leading comprehensive cancer centers in the Middle East with a hospital-based cancer registry established in 2006. The objective of this study was to assess the availability and completeness of healthcare quality indicators for breast and colorectal cancers in the KHCC cancer registry. Data items for measurement of quality indicators were extracted from KHCC Clinical Practice Guidelines, the Rapid Quality Reporting System and from published studies. Availability and usability (completeness) of these items in the registry data were examined. Confounding factors that might affect healthcare outcome were also analyzed. Most of the data items extracted from the three sources were available in the registry (40/45 for breast and 40/51 for colorectal). Among the available items, the percentage of completeness was very high (31/40 items complete at more than 90% for breast and 34/40 for colorectal). Only 5 out of all 80 available data items were less than 50% complete. For most of the data items with low percentage of completeness, there is a plausible explanation. Interestingly, all performance indicators specified in the KHCC Clinical Practice Guidelines can be calculated using data from the registry. It can be concluded that the cancer registry is a potential tool for healthcare performance assessment at KHCC. Future work will include an update of data items in the registry and collaboration with other stakeholders at KHCC for the integration of the cancer registry with other health information platforms at KHCC and the development of an automated algorithm for routine reporting of healthcare performance indicators using the cancer registry data.",5
3,"Effective data management of clinical information is well-known to be a very complex task. The breast cancer context provides a good example of how challenging the problem is in Information Systems terms. In fact, it is one of the basic problems faced by clinicians who work in this area. However, this problem is even bigger when clinicians and biologists try to relate these data to biological data obtained from research studies about this disease. This paper shows how Conceptual Modeling practices provide reliable working environments where clinical and biological information are clearly linked. We focus on miRNAs expression studies in breast cancer patients as a representative study of biological data in this environment. Representing all these biological data using Conceptual Modeling techniques and connecting it with the clinical information properly modeled using the same technique, creates the appropriate background to develop an information system able to manage efficiently and analyze all this information.",5
4,"Goal: This research aims to validate a new biomarker of breast cancer by introducing electromechanical coupling factor of breast tissue samples as a possible additional indicator of breast cancer. Since collagen fibril exhibits a structural organization that gives rise to a piezoelectric effect, the difference in collagen density between normal and cancerous tissue can be captured by identifying the corresponding electromechanical coupling factor. Methods: The design of a portable diagnostic tool and a microelectromechanical systems (MEMS)-based biochip, which is integrated with a piezoresistive sensing layer for measuring the reaction force as well as a microheater for temperature control, is introduced. To verify that electromechanical coupling factor can be used as a biomarker for breast cancer, the piezoelectric model for breast tissue is described with preliminary experimental results on five sets of normal and invasive ductal carcinoma (IDC) samples in the 25-45 °C temperature range. Conclusion: While the stiffness of breast tissues can be captured as a representative mechanical signature which allows one to discriminate among tissue types especially in the higher strain region, the electromechanical coupling factor shows more distinct differences between the normal and IDC groups over the entire strain region than the mechanical signature. From the two-sample t-test, the electromechanical coupling factor under compression shows statistically significant differences (p ≤ 0.0039) between the two groups. Significance: The increase in collagen density in breast tissue is an objective and reproducible characteristic of breast cancer. Although characterization of mechanical tissue property has been shown to be useful for differentiating cancerous tissue from normal tissue, using a single parameter may not be sufficient for practical usage due to inherent variation among biological samples. The portable breast cancer diagnostic tool reported in this manuscript shows the feasibility of measuring multiple parameters of breast tissue allowing for practical application.",5
5,"We develop a facility for biopsy imaging guidance and treatment monitoring for breast and thyroid cancer using endoscopy through hollow superfine acupuncture size needle significantly reducing tissue destruction, pain and bleeding. Such an endoscope will employ advanced optical techniques such as Fluorescence and Raman spectroscopy to provide highly accurate allowing a small invasive examination at the time of consultation, early diagnostics, reducing number of biopsies and surgery.",5
6,"The Breast Cancer Group of the Japanese Radiation Oncology Study Group conducted a nationwide questionnaire survey on the clinical practice of postoperative radiotherapy for breast-conserving treatment for breast cancer. This questionnaire consisted of 18 questions pertaining to the annual number of treated patients, planning method, contouring structure, field design, dose-fractionated regimen, application of hypofractionated radiotherapy, boost irradiation, radiotherapy for synchronously bilateral breast cancer, and accelerated partial breast irradiation. The web-based questionnaire had responses from 293 Japanese hospitals. The results indicated the following: treatment planning is performed using relatively similar field designs and delivery methods; the field-in-field technique is used at more than one-third of institutes; the commonest criteria for boost irradiation is based on the surgical margin width (≤5 mm) and the second commonest criteria was age (≤40 or ≤50 years), although some facilities applied a different age criterion (>70 years) for omitting a tumor bed boost; for conventional fractionation, almost all institutes delivered 50 Gy in 25 fractions to the conserved whole breast and 10 Gy in 5 fractions to the tumor bed. This survey revealed that 43% of hospitals offered hypofractionated radiotherapy, and the most common regimens were 42.56 Gy in 16 fractions for whole-breast irradiation and 10.64 Gy in 4 fractions for boost irradiation. Almost all of the facilities irradiated both breasts simultaneously for synchronously bilateral breast cancer, and accelerated partial breast irradiation was rarely offered in Japan. This survey provided an overview of the current clinical practice of radiotherapy for breast-conserving treatment of breast cancer in Japan.",5
7,"This paper demonstrates the basic principles of personalized computer-assisted regional inductive moderate hyperthermia (RIMH) planning for locally advanced breast cancer and treatment outcomes of stage IIB-IIIA patients. COMSOL Multiphysics 5.4 was used to modulate the distribution of the electromagnetic and temperature fields in the tumor during RIMH based on magnetic resonance imaging scans. Patients were divided into 2 groups. The control group received 4 courses of FAC (5-fluorouracil, doxorubicin, cyclophosphamide) neoadjuvant chemotherapy, while the main group received a 30-minute RIMH session at a frequency of 27.12 MHz and an output power of 50 W delivered by MagTherm (Radmir, Kharkiv, Ukraine) after each neoadjuvant chemotherapy administration. RIMH in combination with neoadjuvant chemotherapy significantly improved tumor response by 15.9% (p = 0.034) and the 5-year overall survival by 14.6% (p = 0.024).",5
8,"Regular examination of breasts may prevent and help to cure because breast cancer is treatable when it is detected early. Therefore, a breast cancer screening modality being sensitivity and cost-effective like ultrasonic imaging modality (US), is strongly required. In addition, the combination of a conventional US and its adjunct, Color Doppler has been proved for decreasing the rate of false-positive in breast cancer diagnosis. Thus, combination of these imaging modalities in a breast cancer segmentation would provide some benefits as well. An effective method for feature segmentation, active contour model has been widely utilized for decades. A crucial stage that affects the performance of active contour model is the initialization. This paper proposes a novel method for an automatic initialization of active contour model designed specifically for US-based imaging modalities. The method estimates an initial contour by utilizing the fusion of conventional US and Color Doppler. Examples and comparisons with three state-of-the-art automatic initialization methods are demonstrated to present the advantages of the proposed method. The evaluation results show high accuracy of initialization as well as fast convergence to features of interest.",5
9,"Some stilbene analogues are essentially important for inhibiting the expression of P-glycoprotein in cancer stem cells. P-glycoprotein is a ATP binding cassette (ABC) transporter that mediates efflux process through ATP hydrolysis. This protein is composed of nucleotide binding and transmembrane domains. The expression level of P-glycoprotein is reported to be high in the cancer stem cell population. Stilbenes are phenylpropanoid-derived naturally occurring secondary metabolites of plants, reported as third generation inhibitors of P-glycoprotein. Based on biological activities of stilbenes against breast cancer cell line, the 3D quantitative structure-activity relationship and docking simulation study was carried out to predict the pharmacophoric features of these compounds. This study is likely to enable researchers to design and synthesize novel therapeutic analogues for reducing the growth of breast cancer stem cells by inhibiting the expression level of P-glycoprotein.",5
