,Abstract,Class
0,"Computer clusters with the shared-nothing architecture are the major computing platforms for big data processing and analysis. In cluster computing, data partitioning and sampling are two fundamental strategies to speed up the computation of big data and increase scalability. In this paper, we present a comprehensive survey of the methods and techniques of data partitioning and sampling with respect to big data processing and analysis. We start with an overview of the mainstream big data frameworks on Hadoop clusters. The basic methods of data partitioning are then discussed including three classical horizontal partitioning schemes: range, hash, and random partitioning. Data partitioning on Hadoop clusters is also discussed with a summary of new strategies for big data partitioning, including the new Random Sample Partition (RSP) distributed model. The classical methods of data sampling are then investigated, including simple random sampling, stratified sampling, and reservoir sampling. Two common methods of big data sampling on computing clusters are also discussed: record-level sampling and block-level sampling. Record-level sampling is not as efficient as block-level sampling on big distributed data. On the other hand, block-level sampling on data blocks generated with the classical data partitioning methods does not necessarily produce good representative samples for approximate computing of big data. In this survey, we also summarize the prevailing strategies and related work on sampling-based approximation on Hadoop clusters. We believe that data partitioning and sampling should be considered together to build approximate cluster computing frameworks that are reliable in both the computational and statistical respects.",0
1,"With the development of Internet and information technology, big data analysis brings new opportunities for all industries and fields in the world. This paper expounds the basic concept of big data and data analysis, builds a framework of the command information system based on big data analysis, puts forward the solution of real-time data analysis and data distribution for the command information system, provides theoretical foundation for our army command information system in period of big data.",0
2,"In order to analyze the big data of people's livelihood appeal, this paper proposes a time series modeling and algorithm to decompose the time series {x(t)} of data into long-term change trend L(t), short-term change trend S(t) and occasional change e(t). Then use this method to break down the data of six types of people's livelihood appeal such as unlicensed vendor, industrial noise, sewer cover, academic qualification, out-of-store operation and public transportation, combine other data for correlation analysis, find out the cause of the appeal event and make predictions. The experimental results verify the effectiveness of time series analysis in big data analysis and mining of people's livelihood appeal, and it is an useful attempt in the analysis of e-government big data.",0
3,"The big data concepts and technologies have brought tremendous changes in the field of education, making education more individualized and intelligent. The article is based on the CNKI database, using 300 Chinese research papers on the theme of education big data as research samples for visual analysis. The results show that the current Chinese education big data research is in a stage of rapid development. The hot topics include Learning Analysis, Education Informationization, Artificial Intelligence and so on. There is little collaboration among authors and among institutions. However, Hai-Guang Fang, Jing-Min Du, Sai-Sai Tong, Jun-Da Chen and other scholars are forming a research cooperation group on education big data research.",0
4,"As the volume of data grows rapidly, storing big data in a single data center is no longer feasible. Hence, companies have developed two scenarios to store their big data in multiple data centers. In the first scenario, the company's big data are distributed in multiple data centers without data replication. In the second scenario, data are also stored in multiple data centers but important data are replicated in these data centers to increase data safety and availability. However, in these scenarios, analyzing big data distributed in multiple data centers becomes a challenging task. In this paper, we propose two data distribution strategies to support big data analysis across geo-distributed data centers. In these strategies, we use the recent Random Sample Partition data model to convert big data into sets of random sample data blocks and distribute these data blocks into multiple data centers either without replication or with replication. In analyzing big data in multiple data centers without replication, we randomly select samples of data blocks from multiple data centers and download the sample data blocks to one data center for analysis. In the second strategy with replication of data blocks, we can analyze big data on any data center by randomly selecting a sample of data blocks replicated from other data centers. This strategy avoids data transformation between data centers. We demonstrate the performance of the two strategies in big data analysis by using simulation results produced on one local data center and four AWS data centers in North America, Asia, and Australia.",0
5,"In general, big data can be treated as a tool to extract knowledge from the larger datasets with different data values. Big-data research is being carried out for a long time to extract the data from larger datasets. Generally, some of the devices, sensors generate a humongous amount of data continuously. Hence performing any computational operation or search operation in that bulk data is remaining as a challenging task. At present, the big data researchers are facing challenges such as duplication of data, and identifying the data from one data set to others and also identifying the multidisciplinary data is also a challenging task. When the data is increasing tremendously day by day as a result the server size, capacity and device storage size, RAM etc., should also be improved for deploying fast and efficient results. In this research work, the Big Data Analytics Problem (BDAP) is proposed for offering many solutions such as data deduplication, security, reliability access control etc., and finally and most important it is used for making analysis and decision making.",0
6,"China's trust companies are gradually moving towards the international market and directly participating in international competition. Facing the increasingly complex macroeconomic environment and more prudent external regulatory requirements, the trust industry has both opportunities and challenges. On the one hand, the number of high-end customers and financial needs have increased dramatically, providing many high-quality customers for trust companies. On the other hand, trust product allocation lacks flexibility. How to balance the balance between competition and customers' changing needs, give full play to the asset management and allocation functions of trust companies, improve product innovation ability, become the top priority of trust companies' operation, Informatization and risk prevention become the key to the success of the new business model and management model.In the era of information revolution, big data has become an important driving force for financial innovation. Trust companies should actively seize the new opportunities for the vigorous development of financial market, accelerate the innovation of trust functions, focus on building core capabilities, and actively plan for the development of new layout.Therefore, China's trust industry needs to actively adopt big data technology to achieve efficient management and intelligent analysis of trust business.",0
7,"At present, there are still some deficiencies in the use of intelligent electricity meters in China, which makes the staff often encounter some problems and faults. This paper will make an in-depth discussion on the big data analysis of intelligent electricity meters' faults, so as to promote the rapid development of intelligent electricity meters in the era of big data in China.",0
8,"For each industry in the era of big data, a steady stream of data is generated continually. Due to the enormous information contained in big data, how to maximally extract the value from big data with lower cost to provide decision-making, guide production and resource allocation for the enterprises has attracted more and more attention of most enterprises. This paper proposes a data analysis solution in the era of big data-data factory, and implements a software system to build a data factory for an enterprise promptly and efficiently. By processing, analyzing and modeling the data in a workshop-based production mode similar to the traditional factories using raw materials, our data factory will acquire the analysis results and prediction models and then realize the clustering, classification, evaluation, and prediction data analysis. Moreover, the application of deploying data factory for an enterprise reveals that data factory is an efficient solution for big data analysis, and it improves the efficiency of enterprise data analysis.",0
9,"In order to ensure the quality and quantity of aquaculture, aquaculture farmers need to grasp the water quality in time. However, most farmers have to collect water quality data manually at present, and cannot store and reuse that information rapidly. This paper aims to use SpringBoot framework and JPA framework to build a big data platform of acquisition automation and visualization, which realizes the data analysis and display of heterogeneous water quality and breeding information. The platform can make the water quality prediction and real-time warning. Meanwhile, it realizes the management of robots, users and breeding experts. The application of this platform will bring better social benefits to aquaculture farmers.",0
10,"In the context of continuous social and economic development, the integration of statistics and economic management has been strengthened. Big data statistical technology has found economic development laws from many data, and its effect in macroeconomic analysis is extremely high. This article focuses on the application of big data statistical methods and existing problems in the field of economic management and proposes corresponding countermeasures.",0
11,"With the continuous improvement of information construction, the vast majority of colleges and universities in China have begun to build digital campus, the construction of all teachers and students and school administrators have brought great convenience. With the construction of digital campus, colleges and universities will produce massive data every day, among which the data generated by students account for a large proportion. The data generated by students include scores, information on borrowing books, credit card information of dormitory access control and consumption data of campus one-card. By analyzing the behavioral data generated by students, some behavioral characteristics of students in school are found, which can provide a more scientific basis for the management of students. This paper makes use of the data such as the achievement information of students in a vocational college and the consumption information of campus one-card. Firstly, the original data is preprocessed so that the processed data can meet the basic requirements of data analysis. Then, the data after preprocessing is discretized with the data discretization technology so that the data can meet the requirements of the Apriori algorithm of association rules. Finally, Apriori algorithm is used to mine the correlation between students' academic performance and campus one-card consumption data.",0
12,Data mining visualization is an important aspect of big data visualization and analysis. The impact of the nature-inspired algorithm along with the impact of computing traditions for the complete visualization of the storage and data communication needs have been studied. This paper also explores the possibilities of the hybridization of data mining in terms of association of cloud computing. It also explores the data analytical view in the exploration of these approaches in terms of data storage in big data. Based on these aspects the methodological advancement along with the problem statements has been analyzed. This will help in the exploration of computational capability along with the new insights in this domain.,0
13,"With the wide application of intelligent sensors and the Internet of things in the intelligent workshop, a large number of real-time production data are collected. Accurate analysis of the collected data can help producers to make effective decisions. Compared with the traditional data processing methods, artificial intelligence, the main method of big data analysis, has been applied in the manufacturing industry increasingly. However, it is different for Artificial Intelligence models to process real-time data from intelligent workshop production. Thus, this paper proposes a real-time big data processing method based on long short term memory (LSTM) for the workshop production process. This method takes the historical production data extracted by the Internet of things workshop as the original data set, preprocesses the data, and uses the LSTM model to train and predict the real-time data of the workshop. Finally, the experimental results are compared with K-NearestNeighbor (KNN), Decision Tree (DT) and traditional neural network model. The results show that the prediction accuracy of the LSTM model is 126.9%, 21.1%, and 14.7% higher than that of the traditional neural network, KNN, and DT respectively.",0
14,"With the continuous application of high technology in command and operation, the era of big data in military field has come. Traditional data processing can't satisfy the deep analysis of massive heterogeneous data. Cloud computing provides necessary storage, management and computing solutions for big data analysis. Based on the characteristics of big data, using cloud computing and data mining technology, this paper proposes a command and decision system model based on Hadoop to provide efficient and reliable ad hoc analysis, and finally establishes a big data analysis ecosystem for battle command and decision-making.",0
15,"The rise and promotion of big data methods enables teachers to understand the behavior patterns of students in a timely and accurate manner, especially to find out the groups of students that need to be focused on in time, and to help promote the student affairs management from empirical qualitative knowledge to scientific quantitative analysis. This paper applies the clustering method of data mining to analyze the campus network behavior of 3,245 students in a certain grade of B university, obtains a total of 23.843 million Internet access data in 4 years. The result shows 4 groups of students with different characteristics of Internet access, finds 350 students with large network usage. Achievements and other aspects of performance of these students are affected. This study carried out data mining of student campus network behavior, which can be used as a practical operation case for student affairs management data mining, providing effective data support for the accurate and scientific development of student affairs management.",0
16,"As an important branch of natural language processing, sentiment analysis has received increasing attention. In teaching evaluation, sentiment analysis can help educators discover the true feelings of students about the course in a timely manner and adjust the teaching plan accurately and timely to improve the quality of education and teaching. Aiming at the inefficiency and heavy workload of college curriculum evaluation methods, a Multi-Attention Fusion Modeling (Multi-AFM) is proposed, which integrates global attention and local attention through gating unit control to generate a reasonable contextual representation and achieve improved classification results. Experimental results show that the Multi-AFM model performs better than the existing methods in the application of education and other fields.",0
17,"In order to improve the ability of food packaging optimization and selection, combined with big data analysis method, different food best packaging methods are selected, and a large data classification technology for different food packaging methods based on fuzzy directivity classification is proposed. Big data parametric model which reflects the best packaging characteristics of different foods is extracted, and the extracted packaging parameters are matched by adaptive fuzzy matching. Then, the directional clustering method is used to classify and identify big data, which is combined with the food packaging. The shelf life and food characteristics are processed by big data information fusion to realize the best match between food packaging and food characteristics. The retrieval node graph model grouping method is used to classify different food packaging data to optimize the selection of different food packaging methods. The simulation results show that, the method used to select the best packaging methods for different foods has better intelligence, improving the ability of classification and recognition of food packaging, and promoting the intelligent development of food packaging.",0
18,"The extraction of effective trends can provide early warning, status assessment and decision support for monitoring objects. Traditional curve trend analysis algorithms include sliding window (SW) algorithm and extrapolation online data segmentation (OSO) algorithm. Compared with conventional least squares method, the overall least-squares method has a higher accuracy of straight line fitting. In addition, there is no limit to the maximum length of the sliding window for the SW algorithm. When the threshold of the detection point is relatively large, the length of the window may be long. The OSD algorithm defines the minimum sliding window length, so that the mutation point within the minimum sliding window cannot be detected. Aiming at the shortcomings of the SW algorithm and the OSD algorithm, a new data stream trend analysis method is proposed. This method adopts the overall least squares method to fit the data stream segmentally to improve the precision of the trend analysis. In addition, it also proposes a variable sliding window. The algorithm solves the fixed window problem of the SW algorithm and the OSD algorithm to achieve a reasonable segmentation of the data stream.",0
19,"In order to improve the capability of enterprise economic risk assessment and prediction, this paper combines panel data analysis method to construct enterprise economic risk prediction model, proposes enterprise economic risk prediction model based on big data fusion, establishes fusion clustering model of enterprise economic risk assessment panel data, and uses fuzzy correlation fusion clustering method to make statistical analysis of enterprise economic risk assessment panel data. Quantitative regression analysis and fuzzy clustering methods are used for panel data mining of enterprise economic risk assessment, adaptive block feature matching in the risk prediction process is carried out according to the mining results of panel data bureau, interference suppression in the enterprise economic risk prediction process is carried out by using correlation feature matching method, large data fusion in the enterprise economic risk prediction process is carried out by combining fuzzy information clustering and statistical analysis methods, and optimization of enterprise economic risk prediction is realized according to the rule distribution relation of recursive entropy. The simulation results show that the method has high accuracy in predicting the economic risks of enterprises, improves the data mining and information fusion capabilities of enterprises' economic risks, and improves the anti-risk capability of enterprises.",0
