,Abstract,Class
0,"Light-weight robotic manipulators can be used to restore the manipulation capability of people with a motor disability. However, manipulating the environment poses a complex task, especially when the control interface is of low bandwidth, as may be the case for users with impairments. Therefore, we propose a constraint-based shared control scheme to define skills which provide support during task execution. This is achieved by representing a skill as a sequence of states, with specific user command mappings and different sets of constraints being applied in each state. New skills are defined by combining different types of constraints and conditions for state transitions, in a human-readable format. We demonstrate its versatility in a pilot experiment with three activities of daily living. Results show that even complex, high-dimensional tasks can be performed with a low-dimensional interface using our shared control approach.",3
1,"Liver cancer is the second leading cause of cancer deaths worldwide. Without treatment, the five-year survival rate is less than 5%. Liver tumors are often detected using MRI. MRI is preferable over other imaging modalities include absence of ionizing radiation, superior soft tissue contrast resolution, and multiplanar imaging capabilities. Needle interventions are then needed for further diagnosis (biopsy) and treatment (ablation). Respiratory motion is the main cause of inaxccurate needle placement leading to misdiagnosis and insufficient treatment. In order to train clinicians to compensate for the liver respiratory motion during intervention, and also test needle insertion robotics technologies, a realistic liver motion simulator is of great interest which can be used inside MRI scanner. In this study, an MR-compatible soft robotic platform is developed to simulate liver respiratory motion. Pneumatically actuated soft robotic actuators were developed and validated using finite element simulations. A feedforward controller was developed to control the input air pressures of the pneumatic actuators to simulate the respiratory motion. The evaluative experiments indicated that the developed soft robotics diaphragm could acceptably simulate liver respiratory motion in the two directions of motion: superior-inferior and anterior-posterior directions.",3
2,"The current knowledge about muscle synergies does not clearly explain how both rehabilitation and brain plasticity act on the way they evolve after a cortical stroke. In this preliminary study, the authors analyzed the correlation between healthy and affected muscle synergies and the way the latter change after rehabilitation, following the clinical scales scores changes. The aim was finding whether the patients were supposed to get the unimpaired synergies back or develop new synergies due to neural changes. Eleven chronic stroke survivors performed 20 rehabilitation sessions with robotic hand, obtaining different scores in the assessment sessions. Results revealed no significant correlations between changes on clinical assessment scales and the difference in similarities with healthy synergies, between post and pre-assessment ones, suggesting that the stroke recovering process involves the growth of new synergies, different from the ones of healthy subjects. Those new synergies could better facilitate motor hand and elbow functions.",3
3,"Robot-assisted minimally invasive surgery has made a substantial impact in operating rooms over the past few decades with their high dexterity, small tool size, and impact on adoption of minimally invasive techniques. In recent years, intelligence and different levels of surgical robot autonomy have emerged thanks to the medical robotics endeavors at numerous academic institutions and leading surgical robot companies. To accelerate interaction within the research community and prevent repeated development, we propose the Collaborative Robotics Toolkit (CRTK), a common API for the RAVEN-II and da Vinci Research Kit (dVRK) - two open surgical robot platforms installed at more than 40 institutions worldwide. CRTK has broadened to include other robots and devices, including simulated robotic systems and industrial robots. This common API is a community software infrastructure for research and education in cutting edge human-robot collaborative areas such as semi-autonomous teleoperation and medical robotics. This paper presents the concepts, design details and the integration of CRTK with physical robot systems and simulation platforms.",3
4,"Drowsiness of driver is one of the common causes resulting in road crashes. According to the research, there have been twenty percent of the road accidents which are related to the drowsiness of drivers. Nowadays, with the development technology, various approaches are introduced to detect the drowsiness of drivers. In this paper, we propose a multi-model fusion system which is composed of the three models to capture driver's face and detect drowsiness in the real-time for telemetric robotics tracking applications. The sensor device we used is an RGB camera which is mounted in front of driver to obtain the facial image. Then, we combine the results based on the state of the eye blink, yawn and head deviation to determine whether the driver is drowsy. We test our models to obtain the weighting factors in drowsy value. In the experiment, we show that our system has the high accuracy of detection.",3
5,"This paper demonstrates the application of cloud-based social robots in real world scenario - anti-dementia exercises for elderly people. Social robotics is a major issue in the field of rehabilitation and treatment of patients with dementia. Human-robot interaction is often helpful in expressing the patient's true feelings. We also found differences in behaviour of patients during a human-human and human-robot interaction. For better understanding of the concept, however, we first need to look at the idea behind the Wizard of Oz.",3
6,"A workshop on educational robotics introduced (mostly) undergraduate students to basic robotics and sensor technology skills. Creative robotics projects were developed using sensor technologies. At the beginning of the workshop, the participants indicated that they were excited about the workshop. This was confirmed by the data analyzed with the Intrinsic Motivation Instrument where most participants mentioned that they enjoyed, learned, and were able come up with creative projects within a limited time of four days. This was the first time for some to practically assemble and code robots and the first time for many to practically work with robotics sensor technologies. The workshop was a very unique workshop to be held in Namibia, the first of its kind where 1) participants developed creative projects which fostered collaboration between a local university and two international universities; 2) doors were opened for local and international collaborators which contributes to educational robotics growth in Namibia and beyond; and 3) business opportunities were created as projects developed have market potential.",3
7,"e-Yantra is a robotics outreach project funded by MHRD, Govt of India, and hosted at IIT Bombay. It organizes e-Yantra Robotics Competition (eYRC), an annual robotics competition that teaches robotics concepts scalably to college students. Last year 34500+ students registered in the competition out of which 800 students participated in a theme called “Thirsty Crow” which taught augmented reality concepts. In this paper, we illustrate how “project-based learning” may be used to teach complex skills in a “game-like” context. We demonstrate how we designed, experimented and implemented the concepts of “Marker Based Augmented Reality” using open source technologies such as OpenCV, OpenGL, and Blender. We demonstrate in this paper that the average completion rate of our theme (which is essentially a hardware-based MOOC) is 11% which is greater than the overall average completion rate of all themes in eYRC-2018 (which is 6.2%). Our work is useful to anyone wishing to incorporate augmented reality in teaching courses, generally in the area of computer science.",3
8,"In conducting research and teaching in fields related to unmanned aerial vehicles (UAVs), it is particularly important to select a universal, safe, open research platform and tools for rapid prototyping. Ready-to-use, low-cost micro-class UAVs such as Bebop 2 are successfully used in that regard. This article presents how to use the potential of this flying robot with Robot Operating System (ROS). The most important software solutions for the developed experimental testbed FlyBebop are characterized here. Their capabilities in research and education are exemplified using three distinct cases: 1) research results on the method of optimal, in-flight, iterative self-tuning of UAV position controller parameters (based only on current measurements), 2) the use of the reinforcement learning method in the autonomous landing of a single drone on a moving vehicle, 3) planning the movement of UAVs for autonomous video recording along the planned path in the arrangement: ""cameraman drone"" and ""lighting technician drones"".",3
9,"Autonomous robots have the potential to serve as versatile caregivers that improve quality of life for millions of people worldwide. Yet, conducting research in this area presents numerous challenges, including the risks of physical interaction between people and robots. Physics simulations have been used to optimize and train robots for physical assistance, but have typically focused on a single task. In this paper, we present Assistive Gym, an open source physics simulation framework for assistive robots that models multiple tasks. It includes six simulated environments in which a robotic manipulator can attempt to assist a person with activities of daily living (ADLs): itch scratching, drinking, feeding, body manipulation, dressing, and bathing. Assistive Gym models a person's physical capabilities and preferences for assistance, which are used to provide a reward function. We present baseline policies trained using reinforcement learning for four different commercial robots in the six environments. We demonstrate that modeling human motion results in better assistance and we compare the performance of different robots. Overall, we show that Assistive Gym is a promising tool for assistive robotics research.",3
10,"Rehabilitation and assistive robotics are beneficial for chronic and subacute stroke patients with upper limb impairments. Rehabilitation robotics is the use of robotic machinery and devices during therapy sessions to motivate and optimize the patient's upper limb motor functions. While assistive robotics is the use of portable robotic devices, which can assist the post stroke user with their upper limb movements along their daily tasks. Assistive robotic devices may also allow patients to “in-directly” improve their motor functions through encouraging them to utilize their affected limb on daily basis. Thus, an assistive device is seen to be essential complementary to a rehabilitation device. Before marketing these two types of devices, they should undergo evaluation studies and clinical trials. This process will not only ensure patient's safety and optimal outcomes, but also help to overcome challenges in promoting the final product. The aim of this short article is to provide a brief review of current rehabilitation and assistive robotics, highlighting how they are complementary to each other, and how they can be evaluated and improved.",3
11,"With the availability of small system in package realizations, radar systems become more and more attractive for a variety of applications in robotics, in particular also for collaborative robotics. As the simulation of robot systems in realistic scenarios has become an important tool, not only for design and optimization, but also e.g. for machine learning approaches, realistic simulation models are needed. In the case of radar sensor simulations, this means providing more realistic results than simple proximity sensors, e.g. in the presence of multiple objects and/or humans, objects with different relative velocities and differentiation between background and foreground movement. Due to the short wavelength in the millimeter range, we propose to utilize methods known from computer graphics (e.g. z-buffer, Lambertian reflectance model) to quickly acquire depth images and reflection estimates. This information is used to calculate an estimate of the received signal for a Frequency Modulated Continuous Wave (FMCW) radar by superposition of the corresponding signal contributions. Due to the moderate computational complexity, the approach can be used with various simulation environments such as V-Rep or Gazebo. Validity and benefits of the approach are demonstrated by means of a comparison with experimental data obtained with a radar sensor on a UR10 arm in different scenarios.",3
12,"This paper presents a study in terms of accuracy and inference speed using RGB-D object detection and classification for mobile platform applications. The study is divided in three stages. In the first, eight state-of-the-art CNN-based object classifiers (AlexNet, VGG16-19, ResNet1850-101, DenseNet, and MobileNetV2) are used to compare the attained performances with the corresponding inference speeds in object classification tasks. The second stage consists in exploiting YOLOv3/YOLOv3-tiny networks to be used as Region of Interest generator method. In order to obtain a real-time object recognition pipeline, the final stage unifies the YOLOv3/YOLOv3-tiny with a CNN-based object classifier. The pipeline evaluates each object classifier with each Region of Interest generator method in terms of their accuracy and frame rate. For the evaluation of the proposed study under the conditions in which real robotic platforms navigate, a nonobject centric RGB-D dataset was recorded in Institute of Systems and Robotics facilities using a camera on-board the ISR-InterBot mobile platform. Experimental evaluations were also carried out in Washington and COCO datasets. Promising performances were achieved by the combination of YOLOv3tiny and ResNet18 networks on the embedded hardware Nvidia Jetson TX2.",3
13,"The primary goal of an assist-as-needed (AAN) controller is to maximize subjects' active participation during motor training tasks while allowing moderate tracking errors to encourage human learning of a target movement. Impedance control is typically employed by AAN controllers to create a compliant force-field around the desired motion trajectory. To accommodate different individuals with varying motor abilities, most of the existing AAN controllers require extensive manual tuning of the control parameters, resulting in a tedious and time-consuming process. In this paper, we propose a reinforcement learning AAN controller that can autonomously reshape the force-field in real-time based on subjects' training performances. The use of action-dependent heuristic dynamic programming enables a model-free implementation of the proposed controller. To experimentally validate the controller, a group of healthy individuals participated in a gait training session wherein they were asked to learn a modified gait pattern with the help of a powered ankle-foot orthosis. Results indicated the potential of the proposed control strategy for robot-assisted gait training.",3
